original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.30,0.18,0.23,892
HPI,0.11,0.03,0.05,363
HPO,0.12,0.17,0.14,273
Other,0.35,0.56,0.43,963
Patient,0.12,0.14,0.13,274
Research,0.13,0.06,0.08,333
avg,0.16,0.16,0.15,3100

original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.35,0.49,0.41,892
HPI,0.15,0.15,0.15,363
HPO,0.18,0.14,0.16,273
Other,0.66,0.48,0.56,963
Patient,0.13,0.20,0.16,274
Research,0.16,0.06,0.09,333
avg,0.23,0.22,0.22,3100

