original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.31,0.25,0.27,892
HPI,0.13,0.09,0.11,363
HPO,0.11,0.39,0.17,273
Other,0.26,0.13,0.18,963
Patient,0.10,0.08,0.09,274
Research,0.13,0.14,0.13,333
avg,0.15,0.15,0.14,3100

original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.28,0.35,0.31,892
HPI,0.11,0.12,0.11,363
HPO,0.09,0.27,0.14,273
Other,0.34,0.16,0.22,963
Patient,0.04,0.01,0.02,274
Research,0.10,0.07,0.08,333
avg,0.14,0.14,0.13,3100

original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.32,0.59,0.41,892
HPI,0.18,0.02,0.04,363
HPO,0.19,0.09,0.12,273
Other,0.31,0.25,0.28,963
Patient,0.08,0.01,0.02,274
Research,0.00,0.00,0.00,333
avg,0.15,0.14,0.13,3100

original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.35,0.60,0.44,892
HPI,0.15,0.10,0.12,363
HPO,0.25,0.09,0.13,273
Other,0.46,0.39,0.42,963
Patient,0.09,0.03,0.05,274
Research,0.10,0.03,0.05,333
avg,0.20,0.18,0.17,3100

original N-fold results:
,precision, recall, f1, support
 HPI,0.00,0.00,0.00,2
Advocates,0.36,0.59,0.45,892
HPI,0.20,0.05,0.08,363
HPO,0.18,0.13,0.15,273
Other,0.44,0.41,0.42,963
Patient,0.16,0.07,0.09,274
Research,0.15,0.03,0.05,333
avg,0.21,0.18,0.18,3100

