"tag","total_tweets","avg_unique_hashtag","avg_unique_mention","avg_unique_urls","avg_unique_media","avg_unique_symbol","avg_unique_anyentity","avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_anyentity","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"#Coronavirus","69","0.8116","0.1594","0.6957","0.0435","0.0000","1.7101","3.2609","0.6812","1.0580","0.0725","0.0000","5.0725","4.6667","16.4348","0.2840"
"#Hidradenitis","293","0.2765","0.1945","0.0956","0.0410","0.0000","0.6075","2.0785","0.5290","0.3652","0.1024","0.0000","3.0751","3.0273","16.0478","0.1886"
"#ankylosingspondylitis","2557","0.3043","0.1826","0.1623","0.1271","0.0000","0.7763","3.8048","1.7204","0.6230","0.5334","0.0000","6.6817","2.5377","21.2135","0.1196"
"#LymeDisease","12610","0.2358","0.1789","0.2359","0.1370","0.0002","0.7878","3.5752","1.2643","0.8940","0.5546","0.0002","6.2883","1.9488","21.3641","0.0912"
"#PediatricCancer","2047","0.2956","0.1744","0.0987","0.0997","0.0005","0.6688","3.8002","2.2745","0.3679","0.8271","0.0010","7.2706","1.8872","21.2990","0.0886"
"#appendicitis","184","0.9674","0.2609","0.3152","0.2772","0.0000","1.8207","3.7228","1.1033","0.9620","0.6685","0.0000","6.4565","5.2228","17.6630","0.2957"
"#Thalassemia","2150","0.3326","0.1753","0.1233","0.1516","0.0009","0.7837","3.8279","1.5493","0.4079","0.5884","0.0060","6.3795","2.0684","20.8651","0.0991"
"#trachoma","707","0.1810","0.1881","0.1429","0.0905","0.0000","0.6025","3.2603","3.6294","0.9095","0.7157","0.0000","8.5149","2.2956","21.9958","0.1044"
"#Legionnaires","326","0.6074","0.5460","0.4233","0.2086","0.0000","1.7853","3.1104","1.9908","0.8558","0.5245","0.0000","6.4816","5.5429","20.1687","0.2748"
"#problemgambling","398","0.3869","0.2236","0.3216","0.1985","0.0000","1.1307","2.4347","0.8693","0.8166","0.5980","0.0000","4.7186","4.5352","21.2437","0.2135"
"unknown-#thmcsm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#Candidiasis","198","0.8283","0.1212","0.2172","0.1566","0.0000","1.3232","2.8434","0.3939","0.6162","0.3889","0.0000","4.2424","3.5758","17.2273","0.2076"
"#ESRD","469","0.3262","0.2452","0.2985","0.3049","0.0000","1.1748","4.0000","1.0917","1.0021","0.6247","0.0000","6.7186","4.0661","22.4222","0.1813"
"#TSComplex","2","2.0000","0.5000","0.5000","0.5000","0.0000","3.5000","4.0000","0.5000","1.0000","1.0000","0.0000","6.5000","15.0000","26.0000","0.5769"
"#CLL","746","0.4464","0.2842","0.2922","0.1796","0.0080","1.2078","3.4464","1.7172","0.8365","0.5603","0.0214","6.5818","4.1381","22.1568","0.1868"
"#Gastroparesis","1384","0.4632","0.1864","0.1510","0.1156","0.0000","0.9162","4.0585","1.3988","0.4632","0.5650","0.0000","6.4855","3.5007","22.7861","0.1536"
"#PlantarFascitis","21","1.4762","0.2857","0.5238","0.2381","0.0000","2.5238","3.0476","0.2857","1.0952","0.4286","0.0000","4.8571","8.8095","19.6190","0.4490"
"#BrainInjury","6732","0.3543","0.2654","0.2803","0.1468","0.0003","1.0471","4.4675","1.7629","0.8651","0.4553","0.0006","7.5514","2.4190","22.1907","0.1090"
"#LiverCancer","878","0.5968","0.2278","0.2916","0.2039","0.0000","1.3200","4.3895","1.2938","0.8815","0.5558","0.0000","7.1207","3.5626","20.1993","0.1764"
"unknown-#ESUSaware","28119","0.2602","0.2013","0.2110","0.1662","0.0006","0.8391","4.2795","1.6033","0.7460","0.5780","0.0049","7.2116","1.6822","21.3971","0.0786"
"#SLE","1422","0.5942","0.2250","0.1878","0.1336","0.0007","1.1406","5.3158","1.6948","0.5485","0.3706","0.0021","7.9318","3.1069","20.9895","0.1480"
