"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#Coronavirus","31","0.6129","0.9677","52.7368","109.3571","0.0000","0.0526","58.8000","89.9745","0.0000","0.1667","5048.7895","11500.8646","0.0000","0.1579","3301.1667","9359.8914","0.0000","0.1000"
"#Hidradenitis","44","0.5909","0.7727","101.1154","334.3801","0.0000","0.1154","84.4118","291.3239","0.0000","0.1765","2742.4231","5904.6565","0.0000","0.1154","1151.6765","2000.4829","0.0000","0.0588"
"#ankylosingspondylitis","1182","0.3926","0.9129","15.1918","54.8807","0.0000","0.1552","17.4032","34.7404","0.0000","0.1854","3751.3513","19325.1216","0.0000","0.1509","2326.6673","13204.2426","0.0000","0.1177"
"#LymeDisease","5656","0.4243","0.8414","10.3308","51.6157","0.0000","0.1488","12.8897","35.4921","0.0000","0.1517","7787.6304","61665.9461","0.0000","0.1300","4303.7291","41024.3769","0.0000","0.1231"
"#PediatricCancer","1502","0.1871","0.9387","7.5765","23.6677","0.0000","0.0925","6.1766","5.8548","-1.0000","-1.0000","20287.6050","207840.1348","0.0000","0.1423","19469.4057","349112.2522","0.0000","0.1220"
"#appendicitis","144","0.6319","0.6111","6.0549","8.8899","0.0000","0.1209","26.3068","5.8835","0.0000","0.1364","3543.6374","8747.6398","0.0000","0.1209","1955.2614","3670.9585","0.0000","0.0795"
"#Thalassemia","1637","0.2804","0.8522","8.8388","53.5147","0.0000","0.1285","11.2337","30.7937","-1.0000","-1.0000","26219.5839","169164.2145","0.0000","0.1590","7238.6738","76968.7681","0.0000","0.1448"
"#trachoma","385","0.4000","0.9429","12.3766","32.9194","0.0000","0.0974","20.8705","20.9900","0.0000","0.1791","46997.0779","371490.6258","0.0000","0.1299","20873.2837","242585.0144","0.0000","0.1185"
"#Legionnaires","213","0.4836","0.7324","8.8835","23.9039","0.0000","0.1456","3.4295","7.6802","0.0000","0.1282","3656.3010","9329.0788","0.0000","0.1262","2196.7628","5481.5360","0.0000","0.0897"
"#problemgambling","182","0.3571","0.8242","5.7231","11.9641","0.0000","0.1077","5.7200","8.3095","-1.0000","-1.0000","2441.5692","4856.2315","0.0000","0.1231","1775.2000","3760.1995","0.0000","0.1200"
