"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers+","%cg_outliers-","avg_rt_per_cp","dev_rt","%cp_outliers+","%cp_outliers-","cg_reach","dev_cgr","cgr_outliers+","cgr_outliers-","cp_reach","dev_cpr","cpr_outliers+","cpr_outliers-"
"#Coronavirus","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Hidradenitis","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ankylosingspondylitis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#appendicitis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#trachoma","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Legionnaires","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#problemgambling","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#thmcsm","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ESRD","1","1.0000","1.0000","3.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","2238.0000","0.0000","-1.0000","-1.0000","2238.0000","0.0000","-1.0000","-1.0000"
"#Gastroparesis","3","1.0000","0.3333","1.3333","0.5774","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","5170.3333","7664.2509","-1.0000","-1.0000","15511.0000","0.0000","-1.0000","-1.0000"
"unknown-#ESUSaware","7","1.0000","0.1429","1.2857","0.7559","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","45.4286","6478.7011","-1.0000","-1.0000","318.0000","0.0000","-1.0000","-1.0000"
"#CIDP","1","1.0000","0.0000","6.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Crohns","11","1.0000","0.3636","1.7273","1.1037","0.0000","0.0000","1.5000","0.8165","-1.0000","-1.0000","1033.0909","2052.2163","0.0000","0.0000","2841.0000","1835.6421","-1.0000","-1.0000"
