_text_only_N-fold results:
,precision, recall, f1, support
Advocates,0.53,0.49,0.51,892
HPI,0.41,0.38,0.39,365
HPO,0.41,0.39,0.40,273
Other,0.58,0.67,0.62,963
Patient,0.35,0.27,0.31,274
Research,0.46,0.50,0.48,333
avg,0.46,0.45,0.45,3100

_text_only_N-fold results:
,precision, recall, f1, support
Advocates,0.52,0.48,0.50,892
HPI,0.47,0.39,0.42,365
HPO,0.40,0.41,0.41,273
Other,0.58,0.68,0.62,963
Patient,0.36,0.30,0.32,274
Research,0.48,0.50,0.49,333
avg,0.47,0.46,0.46,3100

_numeric_only_N-fold results:
,precision, recall, f1, support
Advocates,0.40,0.59,0.48,892
HPI,0.17,0.07,0.10,365
HPO,0.25,0.22,0.23,273
Other,0.51,0.71,0.60,963
Patient,0.43,0.02,0.04,274
Research,0.19,0.04,0.06,333
avg,0.33,0.27,0.25,3100

_autodictext_only_N-fold results:
,precision, recall, f1, support
Advocates,0.66,0.47,0.55,892
HPI,0.52,0.56,0.54,365
HPO,0.49,0.56,0.52,273
Other,0.64,0.75,0.69,963
Patient,0.46,0.53,0.49,274
Research,0.65,0.62,0.63,333
avg,0.57,0.58,0.57,3100

_text+numeric_N-fold results:
,precision, recall, f1, support
Advocates,0.54,0.50,0.52,892
HPI,0.44,0.38,0.41,365
HPO,0.42,0.40,0.41,273
Other,0.60,0.71,0.65,963
Patient,0.37,0.30,0.33,274
Research,0.48,0.50,0.49,333
avg,0.48,0.47,0.47,3100

_text+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.58,0.51,0.54,892
HPI,0.47,0.44,0.46,365
HPO,0.46,0.46,0.46,273
Other,0.63,0.73,0.68,963
Patient,0.42,0.34,0.37,274
Research,0.58,0.61,0.59,333
avg,0.52,0.52,0.52,3100

_text+numeric+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.58,0.53,0.55,892
HPI,0.48,0.45,0.46,365
HPO,0.49,0.47,0.48,273
Other,0.64,0.74,0.68,963
Patient,0.41,0.35,0.38,274
Research,0.58,0.59,0.58,333
avg,0.53,0.52,0.52,3100

