ngram_from_profilesN-fold results:
,precision, recall, f1, support
Advocates,0.50,0.67,0.57,892
HPI,0.58,0.34,0.43,365
HPO,0.51,0.23,0.31,273
Other,0.63,0.81,0.71,963
Patient,0.48,0.15,0.22,274
Research,0.67,0.51,0.58,333
avg,0.56,0.45,0.47,3100

basicN-fold results:
,precision, recall, f1, support
Advocates,0.37,0.58,0.46,892
HPI,0.26,0.13,0.17,365
HPO,0.30,0.17,0.22,273
Other,0.58,0.71,0.64,963
Patient,0.22,0.05,0.08,274
Research,0.16,0.06,0.09,333
avg,0.31,0.28,0.28,3100

basic - englishN-fold results:
,precision, recall, f1, support
Advocates,0.38,0.60,0.47,892
HPI,0.22,0.12,0.15,365
HPO,0.31,0.18,0.23,273
Other,0.59,0.70,0.64,963
Patient,0.21,0.07,0.10,274
Research,0.18,0.07,0.10,333
avg,0.32,0.29,0.28,3100

basic+diseases_in_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.38,0.60,0.46,892
HPI,0.27,0.13,0.17,365
HPO,0.29,0.17,0.22,273
Other,0.60,0.71,0.65,963
Patient,0.20,0.05,0.09,274
Research,0.24,0.09,0.13,333
avg,0.33,0.29,0.29,3100

basic+topical_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.40,0.62,0.48,892
HPI,0.22,0.11,0.15,365
HPO,0.33,0.21,0.26,273
Other,0.61,0.73,0.67,963
Patient,0.23,0.07,0.11,274
Research,0.24,0.09,0.13,333
avg,0.34,0.30,0.30,3100

basic+manual_dictionaryN-fold results:
,precision, recall, f1, support
Advocates,0.46,0.62,0.53,892
HPI,0.18,0.07,0.10,365
HPO,0.41,0.24,0.30,273
Other,0.62,0.72,0.66,963
Patient,0.20,0.06,0.09,274
Research,0.57,0.68,0.62,333
avg,0.41,0.40,0.38,3100

basic+manual_dictionary_gN-fold results:
,precision, recall, f1, support
Advocates,0.50,0.52,0.51,892
HPI,0.67,0.30,0.42,365
HPO,0.43,0.21,0.28,273
Other,0.53,0.79,0.64,963
Patient,0.38,0.13,0.19,274
Research,0.57,0.58,0.57,333
avg,0.51,0.42,0.44,3100

basic+autocreated_dictN-fold results:
,precision, recall, f1, support
Advocates,0.54,0.66,0.59,892
HPI,0.51,0.39,0.44,365
HPO,0.59,0.39,0.47,273
Other,0.67,0.76,0.71,963
Patient,0.52,0.27,0.36,274
Research,0.63,0.62,0.63,333
avg,0.58,0.51,0.53,3100

basic+hashtag_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.57,0.43,892
HPI,0.21,0.10,0.13,365
HPO,0.30,0.18,0.23,273
Other,0.58,0.69,0.63,963
Patient,0.18,0.04,0.07,274
Research,0.14,0.05,0.07,333
avg,0.29,0.27,0.26,3100

basic+word_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.55,0.43,892
HPI,0.23,0.11,0.15,365
HPO,0.25,0.16,0.19,273
Other,0.58,0.70,0.63,963
Patient,0.18,0.05,0.08,274
Research,0.23,0.08,0.12,333
avg,0.30,0.28,0.27,3100

basic+generic_dict_match_nameN-fold results:
,precision, recall, f1, support
Advocates,0.39,0.60,0.47,892
HPI,0.34,0.18,0.23,365
HPO,0.33,0.18,0.23,273
Other,0.58,0.70,0.63,963
Patient,0.18,0.06,0.09,274
Research,0.21,0.07,0.11,333
avg,0.34,0.30,0.29,3100

basic+generic_dict_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.41,0.62,0.49,892
HPI,0.43,0.33,0.37,365
HPO,0.33,0.19,0.24,273
Other,0.60,0.71,0.65,963
Patient,0.17,0.04,0.06,274
Research,0.29,0.10,0.15,333
avg,0.37,0.33,0.33,3100

manual_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.52,0.46,0.49,892
HPI,0.00,0.00,0.00,365
HPO,0.46,0.23,0.31,273
Other,0.45,0.76,0.57,963
Patient,0.32,0.11,0.16,274
Research,0.55,0.72,0.62,333
avg,0.38,0.38,0.36,3100

autocreated_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.53,0.56,0.54,892
HPI,0.50,0.40,0.45,365
HPO,0.46,0.31,0.37,273
Other,0.61,0.74,0.67,963
Patient,0.40,0.29,0.34,274
Research,0.61,0.59,0.60,333
avg,0.52,0.48,0.49,3100

basic + user_urlN-fold results:
,precision, recall, f1, support
Advocates,0.37,0.57,0.45,892
HPI,0.24,0.13,0.17,365
HPO,0.27,0.17,0.21,273
Other,0.58,0.70,0.64,963
Patient,0.17,0.04,0.07,274
Research,0.21,0.08,0.11,333
avg,0.31,0.28,0.28,3100

basic + auto_dict+textN-fold results:
,precision, recall, f1, support
Advocates,0.51,0.69,0.59,892
HPI,0.54,0.33,0.41,365
HPO,0.60,0.32,0.41,273
Other,0.66,0.77,0.71,963
Patient,0.52,0.17,0.25,274
Research,0.63,0.59,0.61,333
avg,0.58,0.48,0.50,3100

PCA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,0.51,0.61,0.56,892
HPI,0.49,0.36,0.41,365
HPO,0.54,0.42,0.47,273
Other,0.66,0.72,0.69,963
Patient,0.50,0.32,0.39,274
Research,0.60,0.58,0.59,333
avg,0.55,0.50,0.52,3100

LDA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,0.56,0.62,0.59,892
HPI,0.53,0.44,0.48,365
HPO,0.60,0.52,0.56,273
Other,0.67,0.72,0.69,963
Patient,0.47,0.36,0.41,274
Research,0.61,0.62,0.61,333
avg,0.57,0.55,0.56,3100

PCA allN-fold results:
,precision, recall, f1, support
Advocates,0.54,0.67,0.60,892
HPI,0.60,0.48,0.53,365
HPO,0.54,0.38,0.45,273
Other,0.68,0.74,0.71,963
Patient,0.47,0.30,0.37,274
Research,0.62,0.54,0.58,333
avg,0.58,0.52,0.54,3100

LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.57,0.64,0.61,892
HPI,0.62,0.55,0.58,365
HPO,0.60,0.51,0.55,273
Other,0.68,0.73,0.70,963
Patient,0.51,0.39,0.44,274
Research,0.67,0.60,0.63,333
avg,0.61,0.57,0.59,3100

PCA+LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.57,0.64,0.60,892
HPI,0.60,0.53,0.56,365
HPO,0.58,0.43,0.50,273
Other,0.67,0.72,0.69,963
Patient,0.52,0.42,0.46,274
Research,0.65,0.60,0.62,333
avg,0.60,0.56,0.57,3100

