_text+numeric+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.52,0.46,0.49,892
HPI,0.41,0.40,0.41,365
HPO,0.34,0.40,0.36,273
Other,0.65,0.66,0.65,963
Patient,0.32,0.36,0.34,274
Research,0.51,0.52,0.51,333
avg,0.46,0.47,0.46,3100

_autodictext_only_N-fold results:
,precision, recall, f1, support
Advocates,0.68,0.49,0.57,892
HPI,0.54,0.58,0.56,365
HPO,0.53,0.64,0.58,273
Other,0.65,0.73,0.69,963
Patient,0.48,0.56,0.52,274
Research,0.67,0.65,0.66,333
avg,0.59,0.61,0.60,3100

_text+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.57,0.51,0.54,892
HPI,0.46,0.45,0.45,365
HPO,0.48,0.45,0.46,273
Other,0.63,0.72,0.68,963
Patient,0.40,0.36,0.38,274
Research,0.55,0.56,0.56,333
avg,0.52,0.51,0.51,3100

