ngram_from_profilesN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basicN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic - englishN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic+diseases_in_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic+topical_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.47,0.22,0.30,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.34,0.94,0.50,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.14,0.19,0.13,3100

basic+manual_dictionaryN-fold results:
,precision, recall, f1, support
Advocates,0.60,0.27,0.37,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.35,0.97,0.51,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.16,0.21,0.15,3100

basic+manual_dictionary_gN-fold results:
,precision, recall, f1, support
Advocates,0.36,0.45,0.40,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.44,0.91,0.60,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.13,0.23,0.17,3100

basic+autocreated_dictN-fold results:
,precision, recall, f1, support
Advocates,0.36,0.73,0.48,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.57,0.76,0.65,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.15,0.25,0.19,3100

basic+hashtag_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic+word_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic+generic_dict_match_nameN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

basic+generic_dict_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

manual_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.39,0.56,0.46,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.45,0.76,0.57,963
Patient,0.00,0.00,0.00,274
Research,0.57,0.35,0.44,333
avg,0.24,0.28,0.24,3100

autocreated_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.75,0.48,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.59,0.74,0.66,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.16,0.25,0.19,3100

basic + user_urlN-fold results:
,precision, recall, f1, support
Advocates,0.38,0.41,0.40,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.40,0.90,0.56,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.13,0.22,0.16,3100

basic + auto_dict+textN-fold results:
,precision, recall, f1, support
Advocates,0.00,0.00,0.00,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.05,0.17,0.08,3100

PCA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,1.00,0.01,0.02,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.31,1.00,0.47,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.22,0.17,0.08,3100

LDA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,0.39,0.74,0.51,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.61,0.83,0.71,963
Patient,0.00,0.00,0.00,274
Research,0.80,0.17,0.28,333
avg,0.30,0.29,0.25,3100

PCA allN-fold results:
,precision, recall, f1, support
Advocates,0.51,0.15,0.24,892
HPI,0.00,0.00,0.00,365
HPO,0.00,0.00,0.00,273
Other,0.33,0.98,0.50,963
Patient,0.00,0.00,0.00,274
Research,0.00,0.00,0.00,333
avg,0.14,0.19,0.12,3100

LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.41,0.77,0.54,892
HPI,1.00,0.10,0.18,365
HPO,0.00,0.00,0.00,273
Other,0.64,0.86,0.73,963
Patient,0.00,0.00,0.00,274
Research,0.80,0.21,0.33,333
avg,0.48,0.32,0.30,3100

PCA+LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.39,0.78,0.52,892
HPI,0.92,0.03,0.06,365
HPO,0.00,0.00,0.00,273
Other,0.64,0.84,0.73,963
Patient,0.00,0.00,0.00,274
Research,0.70,0.06,0.12,333
avg,0.44,0.29,0.24,3100

