"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"3.2609","0.6812","1.0580","0.0725","0.0000","4.6667","16.4348","0.2840"
"2.0785","0.5290","0.3652","0.1024","0.0000","3.0273","16.0478","0.1886"
"3.8048","1.7204","0.6230","0.5334","0.0000","2.5377","21.2135","0.1196"
"3.7228","1.1033","0.9620","0.6685","0.0000","5.2228","17.6630","0.2957"
"3.2603","3.6294","0.9095","0.7157","0.0000","2.2956","21.9958","0.1044"
"3.1104","1.9908","0.8558","0.5245","0.0000","5.5429","20.1687","0.2748"
"2.4347","0.8693","0.8166","0.5980","0.0000","4.5352","21.2437","0.2135"
"4.0000","1.0917","1.0021","0.6247","0.0000","4.0661","22.4222","0.1813"
"4.0585","1.3988","0.4632","0.5650","0.0000","3.5007","22.7861","0.1536"
"4.2795","1.6031","0.7460","0.5780","0.0049","1.6820","21.3972","0.0786"
"6.0190","1.3524","0.7905","0.6286","0.0000","5.8857","20.7238","0.2840"
"5.3642","1.1867","1.0106","0.6174","0.0009","1.8697","22.0928","0.0846"
"5.8681","2.2747","1.1264","0.5110","0.0000","3.9176","20.5604","0.1905"
"4.3850","0.9788","0.9300","0.8688","0.0000","2.6175","19.6288","0.1334"
"3.8920","1.3794","0.8159","0.5365","0.0187","2.7943","20.3352","0.1374"
"5.1165","1.1264","0.8139","0.4418","0.0000","5.2230","22.7628","0.2295"
"4.7181","1.1912","0.8395","0.4578","0.0000","3.6306","22.1290","0.1641"
"3.7233","2.9107","0.7102","0.7146","0.0000","3.6623","20.6362","0.1775"
"3.3860","4.1637","0.5029","0.5175","0.0000","4.0439","21.8655","0.1849"
"3.6832","2.1545","0.8208","0.5757","0.0007","1.3451","21.3016","0.0631"
"5.8004","0.9741","0.7098","0.3586","0.0000","5.0536","22.5915","0.2237"
"4.0848","1.0174","1.0152","0.5109","0.0043","4.8022","21.8152","0.2201"
"3.0242","1.6755","0.9153","0.4730","0.0000","3.0169","21.5327","0.1401"
"2.7598","2.0090","0.5937","0.7366","0.0000","2.3237","22.4086","0.1037"
"4.0781","1.0959","0.8146","0.4178","0.0013","3.4241","20.8203","0.1645"
"4.1739","0.8385","0.9006","0.5901","0.0000","5.7950","24.9255","0.2325"
"4.2174","1.9188","0.6828","0.7081","0.0000","2.7610","21.3790","0.1291"
"3.6083","1.9504","0.8538","0.5523","0.0063","3.6742","20.6868","0.1776"
"4.1782","1.1447","0.7229","0.5121","0.0000","2.8740","22.0447","0.1304"
"4.4020","1.8057","0.8911","0.6303","0.0027","2.0689","22.1018","0.0936"
"2.6074","0.3289","0.4589","0.0769","0.0000","2.2759","17.4934","0.1301"
"1.5769","2.1346","1.2692","0.3462","0.0000","6.7596","24.6154","0.2746"
"4.0159","1.6190","0.9683","0.6349","0.0000","7.7302","21.5238","0.3591"
"4.1304","1.1594","0.9130","0.3913","0.0000","9.2754","25.5072","0.3636"
"3.2769","1.3385","0.8154","0.2462","0.0000","3.6308","20.6769","0.1756"
"4.4244","1.0461","0.8819","0.5308","0.0019","3.6580","20.8001","0.1759"
