"%_retweeted","avg_rt_freq","%_liked","avg_like_freq","avg_interact_freq","as_replies","as_quotes"
"0.8947","4.2632","0.2632","1.4211","5.6842","0.0000","0.0000"
"0.8281","2.6875","0.3750","0.8594","3.5469","0.0469","0.0625"
"0.8868","30.1769","0.2684","1.6979","31.8748","0.0195","0.1799"
"0.8630","6.9315","0.3425","1.6301","8.5616","0.0137","0.2192"
"0.9481","15.9856","0.1960","1.0548","17.0403","0.0029","0.1614"
"0.9189","7.2973","0.2162","0.7207","8.0180","0.0090","0.0901"
"0.8516","36.2774","0.2710","0.7419","37.0194","0.0065","0.0452"
"0.9105","3.3105","0.3316","0.9895","4.3000","0.0158","0.1789"
"0.8223","26.3320","0.3044","1.9931","28.3251","0.0289","0.1970"
"0.9160","23.9125","0.2450","1.2832","25.1957","0.0094","0.1270"
"0.7917","2.3542","0.4375","1.7083","4.0625","0.0208","0.1042"
"0.8702","35.8968","0.2694","1.8919","37.7887","0.0117","0.1425"
"0.9588","11.0515","0.1753","1.5876","12.6392","0.0000","0.1546"
"0.8650","72.0337","0.2086","6.3558","78.3896","0.0000","0.0460"
"0.8679","8.4456","0.3101","1.5822","10.0278","0.0215","0.1332"
"0.8000","13.7020","0.3551","1.5184","15.2204","0.0245","0.0816"
"0.8200","10.4517","0.3267","1.4350","11.8867","0.0283","0.2367"
"0.9254","9.5482","0.2281","1.7193","11.2675","0.0351","0.1360"
"0.9086","9.1989","0.2312","1.3333","10.5323","0.0323","0.2312"
"0.9163","259.4695","0.2287","1.2771","260.7466","0.0110","0.1573"
"0.7813","4.0446","0.4063","1.1741","5.2188","0.0089","0.1518"
"0.8790","4.4777","0.3503","1.2166","5.6943","0.0000","0.0510"
"0.9077","7.9950","0.2634","1.3624","9.3574","0.0134","0.1544"
"0.9329","109.8583","0.2414","1.3765","111.2349","0.0447","0.1044"
"0.8712","4.6806","0.3261","1.0000","5.6806","0.0502","0.1187"
"0.8824","2.9216","0.2745","0.9020","3.8235","0.0196","0.0392"
"0.9584","6.2373","0.2280","1.2589","7.4961","0.0062","0.1864"
"0.8925","12.1811","0.2755","1.9170","14.0981","0.0302","0.1849"
"0.7845","5.6468","0.3863","1.6982","7.3450","0.0394","0.1228"
"0.9249","11.2869","0.2289","1.0536","12.3405","0.0113","0.1661"
"0.6346","5.6538","0.4615","0.8654","6.5192","0.0192","0.0577"
"0.8125","2.8542","0.4167","1.2500","4.1042","0.0417","0.3750"
"0.8889","3.3704","0.3704","1.2593","4.6296","0.0370","0.2963"
"0.8148","2.2222","0.4815","1.4815","3.7037","0.0000","0.2593"
"0.9118","5.6471","0.2059","0.3235","5.9706","0.0000","0.1765"
"0.8429","11.6752","0.2824","0.8811","12.5563","0.0191","0.0658"
"0.8466","21.0349","0.3013","1.5906","22.6254","0.0436","0.2518"
"0.9730","9.5541","0.1351","1.0811","10.6351","0.0135","0.0676"
"0.8701","2.2597","0.4286","1.1818","3.4416","0.0000","0.0779"
"0.9183","124.8645","0.2083","2.8117","127.6762","0.0257","0.1391"
"0.9304","13.4606","0.2164","1.7202","15.1808","0.0201","0.0665"
"0.9886","29.1117","0.1056","0.9552","30.0669","0.0010","0.1267"
"0.7442","1.4884","0.3953","4.5581","6.0465","0.0000","0.0233"
"0.9102","12.2038","0.2413","1.5801","13.7838","0.0060","0.1528"
"0.9211","4.2895","0.3158","1.2895","5.5789","0.0263","0.0000"
"0.9322","16.0941","0.2123","1.5457","17.6398","0.0146","0.2515"
"0.8927","41.7606","0.2646","1.4146","43.1752","0.0231","0.1618"
"0.5706","326.8927","0.6045","0.7175","327.6102","0.0113","0.0000"
"0.9388","6.8164","0.2217","1.4215","8.2379","0.0185","0.2806"
"0.9068","82.0894","0.2439","2.0456","84.1349","0.0113","0.0925"
"0.9452","11.8630","0.2055","1.0274","12.8904","0.0548","0.0685"
"0.9389","10.5996","0.2425","1.1916","11.7912","0.0096","0.0717"
"0.9373","20.8020","0.1947","1.2310","22.0330","0.0099","0.1947"
"0.8687","3.7529","0.3320","1.1815","4.9344","0.0347","0.1313"
"0.7843","2.3333","0.4902","1.6863","4.0196","0.0392","0.0784"
