"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#Coronavirus","31","0.6129","0.9677","52.7368","109.3571","0.0000","0.0526","58.8000","89.9745","0.0000","0.1667","4993.9474","11444.9464","0.0000","0.1579","3307.2667","9298.8166","0.0000","0.1000"
"#Hidradenitis","44","0.5909","0.7727","101.1154","334.3801","0.0000","0.1154","84.4118","291.3239","0.0000","0.1765","2711.4231","5903.0212","0.0000","0.1154","1128.5294","1987.4150","0.0000","0.0588"
"#ankylosingspondylitis","1182","0.3926","0.9129","15.1918","54.8807","0.0000","0.1552","17.4032","34.7404","0.0000","0.1854","3714.5517","19194.8032","0.0000","0.1530","2303.5857","13183.7858","0.0000","0.1168"
"#appendicitis","144","0.6319","0.6111","6.0549","8.8899","0.0000","0.1209","26.3068","5.8835","0.0000","0.1364","3520.9780","8737.1593","0.0000","0.1209","1912.4318","3579.1079","0.0000","0.0795"
"#trachoma","385","0.4000","0.9429","12.3766","32.9194","0.0000","0.0974","20.8705","20.9900","0.0000","0.1791","46847.7078","371015.8581","0.0000","0.1299","20792.9890","242271.7354","0.0000","0.1240"
"#Legionnaires","213","0.4836","0.7324","8.8835","23.9039","0.0000","0.1456","3.4295","7.6802","0.0000","0.1282","3634.4757","9300.3679","0.0000","0.1262","2166.5321","5450.3887","0.0000","0.0769"
"#problemgambling","182","0.3571","0.8242","5.7231","11.9641","0.0000","0.1077","5.7200","8.3095","-1.0000","-1.0000","2418.4769","4852.3526","0.0000","0.1231","1751.1133","3753.1984","0.0000","0.1333"
"unknown-#thmcsm","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ESRD","199","0.6080","0.8442","20.1983","45.1266","0.0000","0.1405","27.9167","32.7810","0.0000","0.1369","3637.3306","14275.0933","0.0000","0.1157","3712.5060","17122.7640","0.0000","0.1548"
"#Gastroparesis","719","0.4214","0.8901","20.0528","77.8270","0.0000","0.1419","38.5906","49.3515","0.0000","0.1453","3765.8878","15274.5874","0.0000","0.1353","2999.7563","12462.1048","0.0000","0.1266"
"unknown-#ESUSaware","12735","0.4143","0.8503","10.6636","45.2655","0.0000","0.1277","12.3185","28.7184","0.0000","0.1622","7666.4672","91105.8334","0.0000","0.1308","4288.4282","58315.6182","0.0000","0.1293"
"#CIDP","62","0.5806","0.7258","11.1389","26.7412","0.0000","0.1667","37.9778","24.0227","0.0000","0.1333","1079.7222","1080.5144","0.0000","0.0278","1057.5556","1579.0283","0.0000","0.0667"
"#Crohns","5417","0.4305","0.8501","10.7401","54.7700","0.0000","0.1454","16.1164","38.7633","0.0000","0.1581","2853.2020","11943.8911","0.0000","0.1218","2284.1644","11204.3555","0.0000","0.1233"
"#Leptospirosis","148","0.3919","0.8716","6.7586","9.0599","0.0000","0.0690","22.6822","5.3403","0.0000","0.1628","121359.5172","681672.3399","0.0000","0.0862","55453.0543","458850.4853","0.0000","0.1318"
"#CleftLip","570","0.2211","0.9018","3.8175","6.5169","0.0000","0.1349","2.7315","2.1258","-1.0000","-1.0000","12286.4444","103268.6779","0.0000","0.1270","1904.9455","18382.5453","0.0000","0.1187"
"#Osteoarthritis","2004","0.5095","0.7794","15.0118","65.3323","0.0000","0.1283","19.6472","50.9583","0.0000","0.1517","4316.4280","24571.9613","0.0000","0.1293","2551.2356","18387.1737","0.0000","0.1293"
"#ShakenBabyFacts","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#SystemicSclerosis","23","0.6522","0.7826","13.4000","18.5542","0.0000","0.0667","17.7222","12.4186","0.0000","0.2222","1142.2000","2023.9560","0.0000","0.1333","878.9444","1780.7429","0.0000","0.1111"
"#MemoryLoss","500","0.6220","0.6800","15.8714","38.0825","0.0000","0.1383","24.7471","28.6168","0.0000","0.1647","9577.0514","110412.3489","0.0000","0.1125","10363.5441","105779.5294","0.0000","0.1265"
"#CowdensSyndrome","6","0.8333","1.0000","39.8000","44.4713","-1.0000","-1.0000","33.8333","42.9670","-1.0000","-1.0000","950.2000","946.2577","-1.0000","-1.0000","802.6667","920.2823","-1.0000","-1.0000"
"#EhlersDanlos","735","0.5810","0.8476","14.7939","67.0634","0.0000","0.1194","25.4526","55.9619","0.0000","0.1316","2488.4590","8906.2317","0.0000","0.0960","2676.6742","8679.0377","0.0000","0.0995"
"#STEMI","351","0.4017","0.9031","32.1631","157.1474","0.0000","0.1844","43.9401","105.6347","0.0000","0.1735","6487.8440","19747.1580","0.0000","0.1418","4561.9274","22057.1472","0.0000","0.1451"
"#IIH","167","0.4671","0.8323","13.8333","36.8477","0.0000","0.1410","24.2590","28.4465","0.0000","0.1583","5849.3974","24256.4589","0.0000","0.2308","4660.3022","20306.7165","0.0000","0.1295"
"#Dementia","29992","0.3710","0.8629","7.3540","32.9638","0.0000","0.1129","7.0213","19.5574","0.0000","0.1141","6560.7881","110173.5194","0.0000","0.1228","4377.2206","77513.9812","0.0000","0.1211"
"#Hypermobility","282","0.7057","0.7128","10.3920","25.8581","0.0000","0.0955","54.0498","25.8182","0.0000","0.1045","2519.8090","8588.8478","0.0000","0.1206","2191.4776","7437.6182","0.0000","0.0945"
"#antiNMDAr","21","0.6190","1.0000","7.6154","10.1369","0.0000","0.2308","46.9048","8.7186","0.0000","0.1429","995.8462","1181.5036","0.0000","0.0000","1751.9524","3436.9166","0.0000","0.0476"
"#MacularDegeneration","326","0.6196","0.6350","22.7277","93.4858","0.0000","0.1535","37.0676","83.7084","0.0000","0.1449","3505.1782","13910.1460","0.0000","0.1287","3137.8213","9502.4163","0.0000","0.1256"
"#Preeclampsia","803","0.4508","0.8742","11.2790","43.3410","0.0000","0.1243","14.9288","28.8076","0.0000","0.1909","9084.2044","83568.9370","0.0000","0.1298","5105.9858","60212.0145","0.0000","0.1140"
"unknown-#TCisNoJoke","1365","0.3084","0.9114","16.4774","65.1050","0.0000","0.1401","14.3087","36.9291","-1.0000","-1.0000","5854.7767","28226.4920","0.0000","0.1306","3516.3376","23078.7575","0.0000","0.1262"
"#GERD","674","0.5104","0.7596","13.6483","30.4705","0.0000","0.1366","28.2793","22.1306","0.0000","0.1621","5164.2064","21705.7530","0.0000","0.1366","5781.4805","62998.8875","0.0000","0.1270"
"#Congestionnasal","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Peyronies","72","0.5972","0.7222","7.0698","10.4161","0.0000","0.0465","4.1538","4.7604","0.0000","0.0385","2274.3256","5432.5034","0.0000","0.1163","2168.9038","5512.9883","0.0000","0.1538"
