"%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers+"
"0.6129","0.9677","52.7368","109.3571","0.0526","58.8000","89.9745","0.1667","4993.9474","11444.9464","0.1579","3307.2667","9298.8166","0.1000"
"0.5909","0.7727","101.1154","334.3801","0.1154","84.4118","291.3239","0.1765","2711.4231","5903.0212","0.1154","1128.5294","1987.4150","0.0588"
"0.3926","0.9129","15.1918","54.8807","0.1552","17.4032","34.7404","0.1854","3714.5517","19194.8032","0.1530","2303.5857","13183.7858","0.1168"
"0.6319","0.6111","6.0549","8.8899","0.1209","26.3068","5.8835","0.1364","3520.9780","8737.1593","0.1209","1912.4318","3579.1079","0.0795"
"0.4000","0.9429","12.3766","32.9194","0.0974","20.8705","20.9900","0.1791","46847.7078","371015.8581","0.1299","20792.9890","242271.7354","0.1240"
"0.4836","0.7324","8.8835","23.9039","0.1456","3.4295","7.6802","0.1282","3634.4757","9300.3679","0.1262","2166.5321","5450.3887","0.0769"
"0.3571","0.8242","5.7231","11.9641","0.1077","5.7200","8.3095","-1.0000","2418.4769","4852.3526","0.1231","1751.1133","3753.1984","0.1333"
"0.6080","0.8442","20.1983","45.1266","0.1405","27.9167","32.7810","0.1369","3637.3306","14275.0933","0.1157","3712.5060","17122.7640","0.1548"
"0.4214","0.8901","20.0528","77.8270","0.1419","38.5906","49.3515","0.1453","3765.8878","15274.5874","0.1353","2999.7563","12462.1048","0.1266"
"0.4143","0.8503","10.6636","45.2655","0.1277","12.3185","28.7184","0.1622","7666.4672","91105.8334","0.1308","4288.4282","58315.6182","0.1293"
"0.5806","0.7258","11.1389","26.7412","0.1667","37.9778","24.0227","0.1333","1079.7222","1080.5144","0.0278","1057.5556","1579.0283","0.0667"
