love,81
follow,63
live,36
work,29
travel,28
support,26
write,25
educ,25
make,24
person,21
help,20
get,19
promot,19
chang,19
advoc,18
interest,15
care,15
look,14
manag,14
find,14
share,14
go,14
learn,13
consult,12
retir,12
enjoy,12
publish,11
inform,11
addict,11
believ,10
bring,10
think,10
review,10
keep,10
want,10
coach,10
inspir,10
see,10
age,9
fight,9
train,9
take,9
power,9
walk,9
check,9
end,9
tri,9
call,8
save,8
amaz,8
join,8
creat,8
use,8
run,8
parent,8
list,8
maker,7
design,7
smile,7
provid,7
trust,7
give,7
show,7
tweet,7
let,7
face,6
film,6
set,6
mind,6
danc,6
lead,6
special,6
forget,6
miss,6
game,5
connect,5
found,5
sell,5
protect,5
speak,5
bless,5
includ,5
watch,5
trend,5
made,5
break,5
come,4
say,4
know,4
grow,4
program,4
organ,4
emerg,4
dedic,4
secur,4
curat,4
base,4
collect,4
polic,4
listen,4
